out_path,variable,run_name,job_id,lambda_option,alpha,lambda_W,lambda_H_G,lambda_H_C,rank,num_init,lambda_Gloss,computation_time
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_train_32,1.5,SCoNE,32,0.1,361.0,0.1,0.1,0.1,3,50,1,56.88765588402748
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_train_33,1.5,SCoNE,33,1.0,361.0,1.0,1.0,1.0,3,50,1,43.79596681520343
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_train_34,1.5,SCoNE,34,10.0,361.0,10.0,10.0,10.0,3,50,1,21.95606393739581
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_train_35,2.0,SCoNE,35,0.0,0.0,0.0,0.0,0.0,3,50,1,48.429081961512566
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_train_36,2.0,SCoNE,36,0.0001,676.0,0.0001,0.0001,0.0001,3,50,1,62.86259068362415
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_train_37,2.0,SCoNE,37,0.001,676.0,0.001,0.001,0.001,3,50,1,51.55741521157324
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_train_38,2.0,SCoNE,38,0.01,676.0,0.01,0.01,0.01,3,50,1,49.789970802143216
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_train_39,2.0,SCoNE,39,0.1,676.0,0.1,0.1,0.1,3,50,1,46.60088863968849
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_train_40,2.0,SCoNE,40,1.0,676.0,1.0,1.0,1.0,3,50,1,42.22627977654338
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_train_41,2.0,SCoNE,41,10.0,676.0,10.0,10.0,10.0,3,50,1,31.348196029663086
