out_path,variable,run_name,job_id,lambda_option,alpha,lambda_W,lambda_H_G,lambda_H_C,rank,num_init,lambda_Gloss,computation_time
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_tune_32,1.5,SCoNE,32,0.1,484.0,0.1,0.1,0.1,3,50,1,64.45364157669246
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_tune_33,1.5,SCoNE,33,1.0,484.0,1.0,1.0,1.0,3,50,1,40.509487360715866
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_tune_34,1.5,SCoNE,34,10.0,484.0,10.0,10.0,10.0,3,50,1,22.39720044285059
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_tune_35,2.0,SCoNE,35,0.0,0.0,0.0,0.0,0.0,3,50,1,49.10140851512551
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_tune_36,2.0,SCoNE,36,0.0001,676.0,0.0001,0.0001,0.0001,3,50,1,60.498862544074655
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_tune_37,2.0,SCoNE,37,0.001,676.0,0.001,0.001,0.001,3,50,1,56.83942035213113
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_tune_38,2.0,SCoNE,38,0.01,676.0,0.01,0.01,0.01,3,50,1,59.917613204568624
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_tune_39,2.0,SCoNE,39,0.1,676.0,0.1,0.1,0.1,3,50,1,47.328740779310465
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_tune_40,2.0,SCoNE,40,1.0,676.0,1.0,1.0,1.0,3,50,1,34.86422974988818
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_tune_41,2.0,SCoNE,41,10.0,676.0,10.0,10.0,10.0,3,50,1,25.062231248244643
