out_path,variable,run_name,job_id,lambda_option,alpha,lambda_W,lambda_H_G,lambda_H_C,rank,num_init,lambda_Gloss,computation_time
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_33,0.5,SCoNE,33,1.0,121.0,1.0,1.0,1.0,3,50,1,36.8154870737344
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_34,0.5,SCoNE,34,10.0,121.0,10.0,10.0,10.0,3,50,1,22.692723719403148
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_35,0.6,SCoNE,35,0.0,0.0,0.0,0.0,0.0,3,50,1,33.00430251285434
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_36,0.6,SCoNE,36,0.0001,196.0,0.0001,0.0001,0.0001,3,50,1,60.60624943673611
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_37,0.6,SCoNE,37,0.001,196.0,0.001,0.001,0.001,3,50,1,61.79716093838215
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_38,0.6,SCoNE,38,0.01,196.0,0.01,0.01,0.01,3,50,1,61.191555108875036
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_39,0.6,SCoNE,39,0.1,196.0,0.1,0.1,0.1,3,50,1,52.355746211484075
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_40,0.6,SCoNE,40,1.0,196.0,1.0,1.0,1.0,3,50,1,31.751349717378616
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_41,0.6,SCoNE,41,10.0,196.0,10.0,10.0,10.0,3,50,1,23.078674480319023
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_42,0.7,SCoNE,42,0.0,0.0,0.0,0.0,0.0,3,50,1,34.58807183988392
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_43,0.7,SCoNE,43,0.0001,225.0,0.0001,0.0001,0.0001,3,50,1,58.33420570939779
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_44,0.7,SCoNE,44,0.001,225.0,0.001,0.001,0.001,3,50,1,57.351676328107715
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_45,0.7,SCoNE,45,0.01,225.0,0.01,0.01,0.01,3,50,1,57.378375209867954
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_46,0.7,SCoNE,46,0.1,225.0,0.1,0.1,0.1,3,50,1,50.064690647646785
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_47,0.7,SCoNE,47,1.0,225.0,1.0,1.0,1.0,3,50,1,33.95996497385204
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_48,0.7,SCoNE,48,10.0,225.0,10.0,10.0,10.0,3,50,1,19.671944884583354
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_49,0.8,SCoNE,49,0.0,0.0,0.0,0.0,0.0,3,50,1,30.877407904714346
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_50,0.8,SCoNE,50,0.0001,196.0,0.0001,0.0001,0.0001,3,50,1,62.99345723167062
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_51,0.8,SCoNE,51,0.001,196.0,0.001,0.001,0.001,3,50,1,64.22933117300272
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_52,0.8,SCoNE,52,0.01,196.0,0.01,0.01,0.01,3,50,1,64.94440032914281
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_53,0.8,SCoNE,53,0.1,196.0,0.1,0.1,0.1,3,50,1,47.631661435589194
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_54,0.8,SCoNE,54,1.0,196.0,1.0,1.0,1.0,3,50,1,31.697547886520624
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_55,0.8,SCoNE,55,10.0,196.0,10.0,10.0,10.0,3,50,1,19.452694576233625
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_56,0.9,SCoNE,56,0.0,0.0,0.0,0.0,0.0,3,50,1,30.467099310830235
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_57,0.9,SCoNE,57,0.0001,169.0,0.0001,0.0001,0.0001,3,50,1,58.661372827365994
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_58,0.9,SCoNE,58,0.001,169.0,0.001,0.001,0.001,3,50,1,52.08716154843569
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_59,0.9,SCoNE,59,0.01,169.0,0.01,0.01,0.01,3,50,1,48.002502320334315
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_60,0.9,SCoNE,60,0.1,169.0,0.1,0.1,0.1,3,50,1,43.407723439857364
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_61,0.9,SCoNE,61,1.0,169.0,1.0,1.0,1.0,3,50,1,31.792878348380327
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_62,0.9,SCoNE,62,10.0,169.0,10.0,10.0,10.0,3,50,1,20.649808613583446
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_63,1.0,SCoNE,63,0.0,0.0,0.0,0.0,0.0,3,50,1,29.294625060632825
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_64,1.0,SCoNE,64,0.0001,196.0,0.0001,0.0001,0.0001,3,50,1,45.32318680174649
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_65,1.0,SCoNE,65,0.001,196.0,0.001,0.001,0.001,3,50,1,49.41344052553177
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_66,1.0,SCoNE,66,0.01,196.0,0.01,0.01,0.01,3,50,1,48.28957958705723
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_67,1.0,SCoNE,67,0.1,196.0,0.1,0.1,0.1,3,50,1,42.66962612234056
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_68,1.0,SCoNE,68,1.0,196.0,1.0,1.0,1.0,3,50,1,26.03252020291984
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_69,1.0,SCoNE,69,10.0,196.0,10.0,10.0,10.0,3,50,1,11.221150873228908
