variable,run_name,split,lambda_option,job_id,out_path
0.7,SCoNE,tune,10.0,48,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_48
0.8,SCoNE,tune,0.0,49,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_49
0.8,SCoNE,tune,0.0001,50,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_50
0.8,SCoNE,tune,0.001,51,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_51
0.8,SCoNE,tune,0.01,52,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_52
0.8,SCoNE,tune,0.1,53,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_53
0.8,SCoNE,tune,1.0,54,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_54
0.8,SCoNE,tune,10.0,55,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_55
0.9,SCoNE,tune,0.0,56,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_56
0.9,SCoNE,tune,0.0001,57,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_57
0.9,SCoNE,tune,0.001,58,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_58
0.9,SCoNE,tune,0.01,59,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_59
0.9,SCoNE,tune,0.1,60,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_60
0.9,SCoNE,tune,1.0,61,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_61
0.9,SCoNE,tune,10.0,62,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_62
1.0,SCoNE,tune,0.0,63,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_63
1.0,SCoNE,tune,0.0001,64,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_64
1.0,SCoNE,tune,0.001,65,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_65
1.0,SCoNE,tune,0.01,66,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_66
1.0,SCoNE,tune,0.1,67,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_67
1.0,SCoNE,tune,1.0,68,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_68
1.0,SCoNE,tune,10.0,69,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_69
0.1,SCoNE,train,0.0,0,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_0
0.1,SCoNE,train,0.0001,1,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_1
0.1,SCoNE,train,0.001,2,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_2
0.1,SCoNE,train,0.01,3,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_3
0.1,SCoNE,train,0.1,4,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_4
0.1,SCoNE,train,1.0,5,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_5
0.1,SCoNE,train,10.0,6,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_6
0.2,SCoNE,train,0.0,7,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_7
0.2,SCoNE,train,0.0001,8,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_8
0.2,SCoNE,train,0.001,9,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_9
0.2,SCoNE,train,0.01,10,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_10
0.2,SCoNE,train,0.1,11,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_11
0.2,SCoNE,train,1.0,12,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_12
0.2,SCoNE,train,10.0,13,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_13
0.3,SCoNE,train,0.0,14,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_14
0.3,SCoNE,train,0.0001,15,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_15
0.3,SCoNE,train,0.001,16,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_16
0.3,SCoNE,train,0.01,17,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_17
0.3,SCoNE,train,0.1,18,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_18
0.3,SCoNE,train,1.0,19,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_19
0.3,SCoNE,train,10.0,20,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_20
0.4,SCoNE,train,0.0,21,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_21
0.4,SCoNE,train,0.0001,22,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_22
0.4,SCoNE,train,0.001,23,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_23
0.4,SCoNE,train,0.01,24,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_24
0.4,SCoNE,train,0.1,25,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_25
0.4,SCoNE,train,1.0,26,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_26
0.4,SCoNE,train,10.0,27,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_27
0.5,SCoNE,train,0.0,28,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_28
0.5,SCoNE,train,0.0001,29,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_29
0.5,SCoNE,train,0.001,30,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_30
0.5,SCoNE,train,0.01,31,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_31
0.5,SCoNE,train,0.1,32,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_32
0.5,SCoNE,train,1.0,33,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_33
0.5,SCoNE,train,10.0,34,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_34
0.6,SCoNE,train,0.0,35,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_35
0.6,SCoNE,train,0.0001,36,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_36
0.6,SCoNE,train,0.001,37,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_37
0.6,SCoNE,train,0.01,38,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_38
0.6,SCoNE,train,0.1,39,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_39
0.6,SCoNE,train,1.0,40,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_40
0.6,SCoNE,train,10.0,41,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_41
0.7,SCoNE,train,0.0,42,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_42
0.7,SCoNE,train,0.0001,43,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_43
0.7,SCoNE,train,0.001,44,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_44
0.7,SCoNE,train,0.01,45,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_45
0.7,SCoNE,train,0.1,46,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_46
0.7,SCoNE,train,1.0,47,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_47
0.7,SCoNE,train,10.0,48,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_48
0.8,SCoNE,train,0.0,49,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_49
0.8,SCoNE,train,0.0001,50,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_50
0.8,SCoNE,train,0.001,51,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_51
0.8,SCoNE,train,0.01,52,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_52
0.8,SCoNE,train,0.1,53,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_53
