,run_name,factor_matrix,init,sim,rel_error_G,rel_error_C,noise,lambda_val,split,rank,job_id
0,SCoNE,W_C,0,0.8893458460674739,0.5259064451135343,0.6450635421367037,0.0,0.0,tune,3,0
1,SCoNE,W_G,0,0.8933417760179139,0.5259064451135343,0.6450635421367037,0.0,0.0,tune,3,0
2,SCoNE,H_G,0,0.9846930098932867,0.5259064451135343,0.6450635421367037,0.0,0.0,tune,3,0
3,SCoNE,U_G,0,0.9822307071436823,0.5259064451135343,0.6450635421367037,0.0,0.0,tune,3,0
4,SCoNE,H_C,0,0.9694061091951187,0.5259064451135343,0.6450635421367037,0.0,0.0,tune,3,0
5,SCoNE,U_C,0,0.9638506897124071,0.5259064451135343,0.6450635421367037,0.0,0.0,tune,3,0
6,SCoNE,W_C,1,0.89156976332497,0.523736507776681,0.6477804762023123,0.0,0.0,tune,3,0
7,SCoNE,W_G,1,0.8924317420896145,0.523736507776681,0.6477804762023123,0.0,0.0,tune,3,0
8,SCoNE,H_G,1,0.9755470533271484,0.523736507776681,0.6477804762023123,0.0,0.0,tune,3,0
9,SCoNE,U_G,1,0.9770387325154506,0.523736507776681,0.6477804762023123,0.0,0.0,tune,3,0
10,SCoNE,H_C,1,0.9763484028477243,0.523736507776681,0.6477804762023123,0.0,0.0,tune,3,0
11,SCoNE,U_C,1,0.9629249254538216,0.523736507776681,0.6477804762023123,0.0,0.0,tune,3,0
12,SCoNE,W_C,2,0.8877779991745652,0.5221325247348989,0.6500097197723597,0.0,0.0,tune,3,0
13,SCoNE,W_G,2,0.8900579887422794,0.5221325247348989,0.6500097197723597,0.0,0.0,tune,3,0
14,SCoNE,H_G,2,0.9737726337036907,0.5221325247348989,0.6500097197723597,0.0,0.0,tune,3,0
15,SCoNE,U_G,2,0.9800234966776082,0.5221325247348989,0.6500097197723597,0.0,0.0,tune,3,0
16,SCoNE,H_C,2,0.9753496733891219,0.5221325247348989,0.6500097197723597,0.0,0.0,tune,3,0
17,SCoNE,U_C,2,0.963996258106112,0.5221325247348989,0.6500097197723597,0.0,0.0,tune,3,0
18,SCoNE,W_C,3,0.7422837246317551,0.5634069826401534,0.6456912723582241,0.0,0.0,tune,3,0
19,SCoNE,W_G,3,0.7774746632900159,0.5634069826401534,0.6456912723582241,0.0,0.0,tune,3,0
20,SCoNE,H_G,3,0.7819958717745272,0.5634069826401534,0.6456912723582241,0.0,0.0,tune,3,0
21,SCoNE,U_G,3,0.9868222713933473,0.5634069826401534,0.6456912723582241,0.0,0.0,tune,3,0
22,SCoNE,H_C,3,0.7972443811183527,0.5634069826401534,0.6456912723582241,0.0,0.0,tune,3,0
23,SCoNE,U_C,3,0.9425452851236437,0.5634069826401534,0.6456912723582241,0.0,0.0,tune,3,0
24,SCoNE,W_C,4,0.7377349043144931,0.562871953176859,0.6694785186692213,0.0,0.0,tune,3,0
25,SCoNE,W_G,4,0.7661119175011247,0.562871953176859,0.6694785186692213,0.0,0.0,tune,3,0
26,SCoNE,H_G,4,0.8368630674178658,0.562871953176859,0.6694785186692213,0.0,0.0,tune,3,0
27,SCoNE,U_G,4,0.9751627674707004,0.562871953176859,0.6694785186692213,0.0,0.0,tune,3,0
28,SCoNE,H_C,4,0.8063920696769954,0.562871953176859,0.6694785186692213,0.0,0.0,tune,3,0
29,SCoNE,U_C,4,0.9538894185163677,0.562871953176859,0.6694785186692213,0.0,0.0,tune,3,0
30,SCoNE,W_C,5,0.890063348705992,0.5204868458421502,0.6501143160232637,0.0,0.0,tune,3,0
31,SCoNE,W_G,5,0.8934315818604937,0.5204868458421502,0.6501143160232637,0.0,0.0,tune,3,0
32,SCoNE,H_G,5,0.9836545151923822,0.5204868458421502,0.6501143160232637,0.0,0.0,tune,3,0
33,SCoNE,U_G,5,0.9785258766840512,0.5204868458421502,0.6501143160232637,0.0,0.0,tune,3,0
34,SCoNE,H_C,5,0.9738155379587257,0.5204868458421502,0.6501143160232637,0.0,0.0,tune,3,0
35,SCoNE,U_C,5,0.9565858680024566,0.5204868458421502,0.6501143160232637,0.0,0.0,tune,3,0
36,SCoNE,W_C,6,0.8853058672986973,0.5219133246093728,0.6497079837004025,0.0,0.0,tune,3,0
37,SCoNE,W_G,6,0.8958180159367821,0.5219133246093728,0.6497079837004025,0.0,0.0,tune,3,0
38,SCoNE,H_G,6,0.9846778851515301,0.5219133246093728,0.6497079837004025,0.0,0.0,tune,3,0
39,SCoNE,U_G,6,0.9794326867056051,0.5219133246093728,0.6497079837004025,0.0,0.0,tune,3,0
40,SCoNE,H_C,6,0.9587652249397679,0.5219133246093728,0.6497079837004025,0.0,0.0,tune,3,0
41,SCoNE,U_C,6,0.9606927910251513,0.5219133246093728,0.6497079837004025,0.0,0.0,tune,3,0
42,SCoNE,W_C,7,0.8808966275431999,0.524008936194507,0.6490060662965947,0.0,0.0,tune,3,0
43,SCoNE,W_G,7,0.8904840403241321,0.524008936194507,0.6490060662965947,0.0,0.0,tune,3,0
44,SCoNE,H_G,7,0.9742187641262214,0.524008936194507,0.6490060662965947,0.0,0.0,tune,3,0
45,SCoNE,U_G,7,0.9792746511836313,0.524008936194507,0.6490060662965947,0.0,0.0,tune,3,0
46,SCoNE,H_C,7,0.9636194121569291,0.524008936194507,0.6490060662965947,0.0,0.0,tune,3,0
47,SCoNE,U_C,7,0.96210698518076,0.524008936194507,0.6490060662965947,0.0,0.0,tune,3,0
48,SCoNE,W_C,8,0.8811085528401164,0.5259307117186633,0.6477608058036778,0.0,0.0,tune,3,0
49,SCoNE,W_G,8,0.8864036923752875,0.5259307117186633,0.6477608058036778,0.0,0.0,tune,3,0
50,SCoNE,H_G,8,0.9718606675819674,0.5259307117186633,0.6477608058036778,0.0,0.0,tune,3,0
51,SCoNE,U_G,8,0.9834391877667393,0.5259307117186633,0.6477608058036778,0.0,0.0,tune,3,0
52,SCoNE,H_C,8,0.9661972308788814,0.5259307117186633,0.6477608058036778,0.0,0.0,tune,3,0
53,SCoNE,U_C,8,0.956144300705055,0.5259307117186633,0.6477608058036778,0.0,0.0,tune,3,0
54,SCoNE,W_C,9,0.884242909986972,0.5234532870771633,0.6508086492775401,0.0,0.0,tune,3,0
55,SCoNE,W_G,9,0.8955769844807439,0.5234532870771633,0.6508086492775401,0.0,0.0,tune,3,0
56,SCoNE,H_G,9,0.9871526654053636,0.5234532870771633,0.6508086492775401,0.0,0.0,tune,3,0
57,SCoNE,U_G,9,0.9841419258703968,0.5234532870771633,0.6508086492775401,0.0,0.0,tune,3,0
58,SCoNE,H_C,9,0.966523866097628,0.5234532870771633,0.6508086492775401,0.0,0.0,tune,3,0
59,SCoNE,U_C,9,0.9589118446831132,0.5234532870771633,0.6508086492775401,0.0,0.0,tune,3,0
60,SCoNE,W_C,10,0.8789325316316698,0.5313384236486239,0.6448700715504108,0.0,0.0,tune,3,0
61,SCoNE,W_G,10,0.8830626442748153,0.5313384236486239,0.6448700715504108,0.0,0.0,tune,3,0
62,SCoNE,H_G,10,0.9798350944728647,0.5313384236486239,0.6448700715504108,0.0,0.0,tune,3,0
63,SCoNE,U_G,10,0.9842337856636149,0.5313384236486239,0.6448700715504108,0.0,0.0,tune,3,0
64,SCoNE,H_C,10,0.9512951010365654,0.5313384236486239,0.6448700715504108,0.0,0.0,tune,3,0
65,SCoNE,U_C,10,0.9532570618342081,0.5313384236486239,0.6448700715504108,0.0,0.0,tune,3,0
66,SCoNE,W_C,11,0.7626169928059278,0.5741529728183249,0.6365067449525061,0.0,0.0,tune,3,0
67,SCoNE,W_G,11,0.7730965478401544,0.5741529728183249,0.6365067449525061,0.0,0.0,tune,3,0
68,SCoNE,H_G,11,0.7398461617133733,0.5741529728183249,0.6365067449525061,0.0,0.0,tune,3,0
69,SCoNE,U_G,11,0.9827092952017433,0.5741529728183249,0.6365067449525061,0.0,0.0,tune,3,0
70,SCoNE,H_C,11,0.839894426258946,0.5741529728183249,0.6365067449525061,0.0,0.0,tune,3,0
71,SCoNE,U_C,11,0.9551866104268859,0.5741529728183249,0.6365067449525061,0.0,0.0,tune,3,0
72,SCoNE,W_C,12,0.8895844435103866,0.5212532180826,0.6478741493209644,0.0,0.0,tune,3,0
73,SCoNE,W_G,12,0.8938541857680984,0.5212532180826,0.6478741493209644,0.0,0.0,tune,3,0
74,SCoNE,H_G,12,0.978561745211799,0.5212532180826,0.6478741493209644,0.0,0.0,tune,3,0
75,SCoNE,U_G,12,0.9817066669874313,0.5212532180826,0.6478741493209644,0.0,0.0,tune,3,0
76,SCoNE,H_C,12,0.9758659398488561,0.5212532180826,0.6478741493209644,0.0,0.0,tune,3,0
77,SCoNE,U_C,12,0.9628851897548404,0.5212532180826,0.6478741493209644,0.0,0.0,tune,3,0
78,SCoNE,W_C,13,0.8846293649321714,0.5213713992551863,0.6483171928810685,0.0,0.0,tune,3,0
79,SCoNE,W_G,13,0.8931747182002506,0.5213713992551863,0.6483171928810685,0.0,0.0,tune,3,0
80,SCoNE,H_G,13,0.9843281377503311,0.5213713992551863,0.6483171928810685,0.0,0.0,tune,3,0
81,SCoNE,U_G,13,0.9836552895467162,0.5213713992551863,0.6483171928810685,0.0,0.0,tune,3,0
82,SCoNE,H_C,13,0.972178873735093,0.5213713992551863,0.6483171928810685,0.0,0.0,tune,3,0
83,SCoNE,U_C,13,0.9564865920595679,0.5213713992551863,0.6483171928810685,0.0,0.0,tune,3,0
84,SCoNE,W_C,14,0.8744618535491396,0.5212288228724885,0.6531188301416925,0.0,0.0,tune,3,0
85,SCoNE,W_G,14,0.8919394151808245,0.5212288228724885,0.6531188301416925,0.0,0.0,tune,3,0
86,SCoNE,H_G,14,0.9844752939652635,0.5212288228724885,0.6531188301416925,0.0,0.0,tune,3,0
87,SCoNE,U_G,14,0.9777436096784434,0.5212288228724885,0.6531188301416925,0.0,0.0,tune,3,0
88,SCoNE,H_C,14,0.934001768521318,0.5212288228724885,0.6531188301416925,0.0,0.0,tune,3,0
89,SCoNE,U_C,14,0.9629427847138373,0.5212288228724885,0.6531188301416925,0.0,0.0,tune,3,0
90,SCoNE,W_C,15,0.8664094439899871,0.5197832073860817,0.6556812839738351,0.0,0.0,tune,3,0
91,SCoNE,W_G,15,0.8913368774463166,0.5197832073860817,0.6556812839738351,0.0,0.0,tune,3,0
92,SCoNE,H_G,15,0.9748817835532834,0.5197832073860817,0.6556812839738351,0.0,0.0,tune,3,0
93,SCoNE,U_G,15,0.9686749310906967,0.5197832073860817,0.6556812839738351,0.0,0.0,tune,3,0
94,SCoNE,H_C,15,0.911535052864946,0.5197832073860817,0.6556812839738351,0.0,0.0,tune,3,0
95,SCoNE,U_C,15,0.960120946356283,0.5197832073860817,0.6556812839738351,0.0,0.0,tune,3,0
96,SCoNE,W_C,16,0.8694441842035445,0.5269657762184481,0.6555609100128609,0.0,0.0,tune,3,0
97,SCoNE,W_G,16,0.8930860418652414,0.5269657762184481,0.6555609100128609,0.0,0.0,tune,3,0
98,SCoNE,H_G,16,0.9847307357439722,0.5269657762184481,0.6555609100128609,0.0,0.0,tune,3,0
99,SCoNE,U_G,16,0.986643997008388,0.5269657762184481,0.6555609100128609,0.0,0.0,tune,3,0
100,SCoNE,H_C,16,0.9442729589676921,0.5269657762184481,0.6555609100128609,0.0,0.0,tune,3,0
101,SCoNE,U_C,16,0.9561104052740009,0.5269657762184481,0.6555609100128609,0.0,0.0,tune,3,0
102,SCoNE,W_C,17,0.8697693313517223,0.522451014366329,0.6521418907535218,0.0,0.0,tune,3,0
103,SCoNE,W_G,17,0.8921679358788454,0.522451014366329,0.6521418907535218,0.0,0.0,tune,3,0
104,SCoNE,H_G,17,0.9814406969460707,0.522451014366329,0.6521418907535218,0.0,0.0,tune,3,0
105,SCoNE,U_G,17,0.9775090213786016,0.522451014366329,0.6521418907535218,0.0,0.0,tune,3,0
106,SCoNE,H_C,17,0.9158158375463382,0.522451014366329,0.6521418907535218,0.0,0.0,tune,3,0
107,SCoNE,U_C,17,0.9537277150251978,0.522451014366329,0.6521418907535218,0.0,0.0,tune,3,0
108,SCoNE,W_C,18,0.8402571897135709,0.530077453233567,0.6531671937132828,0.0,0.0,tune,3,0
109,SCoNE,W_G,18,0.8815613875414638,0.530077453233567,0.6531671937132828,0.0,0.0,tune,3,0
110,SCoNE,H_G,18,0.9754601876064565,0.530077453233567,0.6531671937132828,0.0,0.0,tune,3,0
111,SCoNE,U_G,18,0.9753259580687434,0.530077453233567,0.6531671937132828,0.0,0.0,tune,3,0
112,SCoNE,H_C,18,0.8517351915821967,0.530077453233567,0.6531671937132828,0.0,0.0,tune,3,0
113,SCoNE,U_C,18,0.9565646864094637,0.530077453233567,0.6531671937132828,0.0,0.0,tune,3,0
114,SCoNE,W_C,19,0.7483926986031562,0.5679564836594704,0.6428610215595435,0.0,0.0,tune,3,0
115,SCoNE,W_G,19,0.7626977324575888,0.5679564836594704,0.6428610215595435,0.0,0.0,tune,3,0
116,SCoNE,H_G,19,0.7231879208002636,0.5679564836594704,0.6428610215595435,0.0,0.0,tune,3,0
117,SCoNE,U_G,19,0.9798356774530912,0.5679564836594704,0.6428610215595435,0.0,0.0,tune,3,0
118,SCoNE,H_C,19,0.839279896243743,0.5679564836594704,0.6428610215595435,0.0,0.0,tune,3,0
119,SCoNE,U_C,19,0.9619533891840459,0.5679564836594704,0.6428610215595435,0.0,0.0,tune,3,0
120,SCoNE,W_C,20,0.8751704338049556,0.5196124081659237,0.6548032858724157,0.0,0.0,tune,3,0
121,SCoNE,W_G,20,0.8922223651059806,0.5196124081659237,0.6548032858724157,0.0,0.0,tune,3,0
122,SCoNE,H_G,20,0.9779357884457499,0.5196124081659237,0.6548032858724157,0.0,0.0,tune,3,0
123,SCoNE,U_G,20,0.9774046851831326,0.5196124081659237,0.6548032858724157,0.0,0.0,tune,3,0
124,SCoNE,H_C,20,0.9478101432754187,0.5196124081659237,0.6548032858724157,0.0,0.0,tune,3,0
125,SCoNE,U_C,20,0.9617912245233291,0.5196124081659237,0.6548032858724157,0.0,0.0,tune,3,0
126,SCoNE,W_C,21,0.8938868196337774,0.5220912539155428,0.648252992092725,0.0,0.0,tune,3,0
127,SCoNE,W_G,21,0.8965339521355246,0.5220912539155428,0.648252992092725,0.0,0.0,tune,3,0
128,SCoNE,H_G,21,0.9896841636586444,0.5220912539155428,0.648252992092725,0.0,0.0,tune,3,0
129,SCoNE,U_G,21,0.984234294248067,0.5220912539155428,0.648252992092725,0.0,0.0,tune,3,0
130,SCoNE,H_C,21,0.976981178276926,0.5220912539155428,0.648252992092725,0.0,0.0,tune,3,0
131,SCoNE,U_C,21,0.9591853511239795,0.5220912539155428,0.648252992092725,0.0,0.0,tune,3,0
132,SCoNE,W_C,22,0.8860843671609457,0.5260785828982579,0.6501211283958964,0.0,0.0,tune,3,0
133,SCoNE,W_G,22,0.895211519530284,0.5260785828982579,0.6501211283958964,0.0,0.0,tune,3,0
134,SCoNE,H_G,22,0.9897038104618615,0.5260785828982579,0.6501211283958964,0.0,0.0,tune,3,0
135,SCoNE,U_G,22,0.9868465159103907,0.5260785828982579,0.6501211283958964,0.0,0.0,tune,3,0
136,SCoNE,H_C,22,0.9641173741198099,0.5260785828982579,0.6501211283958964,0.0,0.0,tune,3,0
137,SCoNE,U_C,22,0.9582306232543412,0.5260785828982579,0.6501211283958964,0.0,0.0,tune,3,0
138,SCoNE,W_C,23,0.8798037514178553,0.5199881594704489,0.6517661463370803,0.0,0.0,tune,3,0
139,SCoNE,W_G,23,0.8951921172062512,0.5199881594704489,0.6517661463370803,0.0,0.0,tune,3,0
140,SCoNE,H_G,23,0.981593676260884,0.5199881594704489,0.6517661463370803,0.0,0.0,tune,3,0
141,SCoNE,U_G,23,0.9731895867984961,0.5199881594704489,0.6517661463370803,0.0,0.0,tune,3,0
142,SCoNE,H_C,23,0.9499539697919059,0.5199881594704489,0.6517661463370803,0.0,0.0,tune,3,0
143,SCoNE,U_C,23,0.960079644638419,0.5199881594704489,0.6517661463370803,0.0,0.0,tune,3,0
144,SCoNE,W_C,24,0.8866522733970815,0.5282216941913843,0.6473868357432192,0.0,0.0,tune,3,0
145,SCoNE,W_G,24,0.8910489339855397,0.5282216941913843,0.6473868357432192,0.0,0.0,tune,3,0
146,SCoNE,H_G,24,0.9906532997802957,0.5282216941913843,0.6473868357432192,0.0,0.0,tune,3,0
147,SCoNE,U_G,24,0.9846374462019629,0.5282216941913843,0.6473868357432192,0.0,0.0,tune,3,0
148,SCoNE,H_C,24,0.9688318457834918,0.5282216941913843,0.6473868357432192,0.0,0.0,tune,3,0
149,SCoNE,U_C,24,0.9553146133765583,0.5282216941913843,0.6473868357432192,0.0,0.0,tune,3,0
150,SCoNE,W_C,25,0.8745194038290167,0.5180884512207695,0.6550276378892333,0.0,0.0,tune,3,0
151,SCoNE,W_G,25,0.8949059107122959,0.5180884512207695,0.6550276378892333,0.0,0.0,tune,3,0
152,SCoNE,H_G,25,0.9779499296854386,0.5180884512207695,0.6550276378892333,0.0,0.0,tune,3,0
153,SCoNE,U_G,25,0.9743313100181238,0.5180884512207695,0.6550276378892333,0.0,0.0,tune,3,0
154,SCoNE,H_C,25,0.930920876194757,0.5180884512207695,0.6550276378892333,0.0,0.0,tune,3,0
155,SCoNE,U_C,25,0.960895338995519,0.5180884512207695,0.6550276378892333,0.0,0.0,tune,3,0
156,SCoNE,W_C,26,0.8875948674504,0.5251016256340777,0.6462568105204582,0.0,0.0,tune,3,0
157,SCoNE,W_G,26,0.8889261731634461,0.5251016256340777,0.6462568105204582,0.0,0.0,tune,3,0
158,SCoNE,H_G,26,0.9731831230909486,0.5251016256340777,0.6462568105204582,0.0,0.0,tune,3,0
159,SCoNE,U_G,26,0.9870090603960653,0.5251016256340777,0.6462568105204582,0.0,0.0,tune,3,0
160,SCoNE,H_C,26,0.9737845319641519,0.5251016256340777,0.6462568105204582,0.0,0.0,tune,3,0
161,SCoNE,U_C,26,0.9557541277330518,0.5251016256340777,0.6462568105204582,0.0,0.0,tune,3,0
162,SCoNE,W_C,27,0.8717920675997796,0.5212643052633253,0.6542498525697844,0.0,0.0,tune,3,0
163,SCoNE,W_G,27,0.89184116494597,0.5212643052633253,0.6542498525697844,0.0,0.0,tune,3,0
164,SCoNE,H_G,27,0.977799438472724,0.5212643052633253,0.6542498525697844,0.0,0.0,tune,3,0
