,run_name,factor_matrix,init,sim,rel_error_G,rel_error_C,sparsity,lambda_val,split,rank,job_id
0,SCoNE,W_C,0,0.6835097826705346,0.7788243479891965,0.8948841636729468,0.0,10.0,tune,3,6
1,SCoNE,W_G,0,0.7308435233604893,0.7788243479891965,0.8948841636729468,0.0,10.0,tune,3,6
2,SCoNE,H_G,0,0.66270131310468,0.7788243479891965,0.8948841636729468,0.0,10.0,tune,3,6
3,SCoNE,U_G,0,0.7768300554225844,0.7788243479891965,0.8948841636729468,0.0,10.0,tune,3,6
4,SCoNE,H_C,0,0.6702534172147042,0.7788243479891965,0.8948841636729468,0.0,10.0,tune,3,6
5,SCoNE,U_C,0,0.7868893639686251,0.7788243479891965,0.8948841636729468,0.0,10.0,tune,3,6
6,SCoNE,W_C,1,0.6994106602800761,0.7778599017404896,0.8881701172909913,0.0,10.0,tune,3,6
7,SCoNE,W_G,1,0.7366798507654043,0.7778599017404896,0.8881701172909913,0.0,10.0,tune,3,6
8,SCoNE,H_G,1,0.5807587187382367,0.7778599017404896,0.8881701172909913,0.0,10.0,tune,3,6
9,SCoNE,U_G,1,0.8303868688383063,0.7778599017404896,0.8881701172909913,0.0,10.0,tune,3,6
10,SCoNE,H_C,1,0.5749167134430038,0.7778599017404896,0.8881701172909913,0.0,10.0,tune,3,6
11,SCoNE,U_C,1,0.7916838951827315,0.7778599017404896,0.8881701172909913,0.0,10.0,tune,3,6
12,SCoNE,W_C,2,0.650870922562568,0.7361231629645871,0.8651089476717718,0.0,10.0,tune,3,6
13,SCoNE,W_G,2,0.7106679717444089,0.7361231629645871,0.8651089476717718,0.0,10.0,tune,3,6
14,SCoNE,H_G,2,0.7206269584752991,0.7361231629645871,0.8651089476717718,0.0,10.0,tune,3,6
15,SCoNE,U_G,2,0.8311759624349379,0.7361231629645871,0.8651089476717718,0.0,10.0,tune,3,6
16,SCoNE,H_C,2,0.7709586892022099,0.7361231629645871,0.8651089476717718,0.0,10.0,tune,3,6
17,SCoNE,U_C,2,0.8362690088050581,0.7361231629645871,0.8651089476717718,0.0,10.0,tune,3,6
18,SCoNE,W_C,3,0.7044828615119565,0.7862127994050222,0.8760102369455328,0.0,10.0,tune,3,6
19,SCoNE,W_G,3,0.7572000527231844,0.7862127994050222,0.8760102369455328,0.0,10.0,tune,3,6
20,SCoNE,H_G,3,0.6896426881981451,0.7862127994050222,0.8760102369455328,0.0,10.0,tune,3,6
21,SCoNE,U_G,3,0.7952759485040098,0.7862127994050222,0.8760102369455328,0.0,10.0,tune,3,6
22,SCoNE,H_C,3,0.6688819298528144,0.7862127994050222,0.8760102369455328,0.0,10.0,tune,3,6
23,SCoNE,U_C,3,0.8104567890915723,0.7862127994050222,0.8760102369455328,0.0,10.0,tune,3,6
24,SCoNE,W_C,4,0.5499959127424998,0.7635919574499018,0.8810122751476538,0.0,10.0,tune,3,6
25,SCoNE,W_G,4,0.6246775399398542,0.7635919574499018,0.8810122751476538,0.0,10.0,tune,3,6
26,SCoNE,H_G,4,0.6350917781846032,0.7635919574499018,0.8810122751476538,0.0,10.0,tune,3,6
27,SCoNE,U_G,4,0.8314461776647848,0.7635919574499018,0.8810122751476538,0.0,10.0,tune,3,6
28,SCoNE,H_C,4,0.5460549483305703,0.7635919574499018,0.8810122751476538,0.0,10.0,tune,3,6
29,SCoNE,U_C,4,0.7980761238358879,0.7635919574499018,0.8810122751476538,0.0,10.0,tune,3,6
30,SCoNE,W_C,5,0.6955231865552465,0.7753130345628644,0.8819952145715504,0.0,10.0,tune,3,6
31,SCoNE,W_G,5,0.7334022135623653,0.7753130345628644,0.8819952145715504,0.0,10.0,tune,3,6
32,SCoNE,H_G,5,0.6420484481723303,0.7753130345628644,0.8819952145715504,0.0,10.0,tune,3,6
33,SCoNE,U_G,5,0.8247897627923216,0.7753130345628644,0.8819952145715504,0.0,10.0,tune,3,6
34,SCoNE,H_C,5,0.6501387355045859,0.7753130345628644,0.8819952145715504,0.0,10.0,tune,3,6
35,SCoNE,U_C,5,0.7806970026857946,0.7753130345628644,0.8819952145715504,0.0,10.0,tune,3,6
36,SCoNE,W_C,6,0.7116054009628704,0.7687638881133411,0.8876439055451647,0.0,10.0,tune,3,6
37,SCoNE,W_G,6,0.7602806165323747,0.7687638881133411,0.8876439055451647,0.0,10.0,tune,3,6
38,SCoNE,H_G,6,0.7008395036492271,0.7687638881133411,0.8876439055451647,0.0,10.0,tune,3,6
39,SCoNE,U_G,6,0.8189852444160101,0.7687638881133411,0.8876439055451647,0.0,10.0,tune,3,6
40,SCoNE,H_C,6,0.6944300121122354,0.7687638881133411,0.8876439055451647,0.0,10.0,tune,3,6
41,SCoNE,U_C,6,0.8053323346967561,0.7687638881133411,0.8876439055451647,0.0,10.0,tune,3,6
