,run_name,factor_matrix,init,sim,rel_error_G,rel_error_C,ZU_weight,lambda_val,split,rank,job_id
0,SCoNE,W_C,0,0.8580027609708094,0.6415632986389712,0.7593651546040117,0.25,0.0,tune,3,0
1,SCoNE,W_G,0,0.900165590630912,0.6415632986389712,0.7593651546040117,0.25,0.0,tune,3,0
2,SCoNE,H_G,0,0.9870794263416838,0.6415632986389712,0.7593651546040117,0.25,0.0,tune,3,0
3,SCoNE,U_G,0,0.9368947505148975,0.6415632986389712,0.7593651546040117,0.25,0.0,tune,3,0
4,SCoNE,H_C,0,0.9272106014967689,0.6415632986389712,0.7593651546040117,0.25,0.0,tune,3,0
5,SCoNE,U_C,0,0.847150098226518,0.6415632986389712,0.7593651546040117,0.25,0.0,tune,3,0
6,SCoNE,W_C,1,0.8680141372624566,0.646143496010934,0.7533868394531993,0.25,0.0,tune,3,0
7,SCoNE,W_G,1,0.9026041848034674,0.646143496010934,0.7533868394531993,0.25,0.0,tune,3,0
8,SCoNE,H_G,1,0.9889296814674771,0.646143496010934,0.7533868394531993,0.25,0.0,tune,3,0
9,SCoNE,U_G,1,0.9404473731474986,0.646143496010934,0.7533868394531993,0.25,0.0,tune,3,0
10,SCoNE,H_C,1,0.9652383778587476,0.646143496010934,0.7533868394531993,0.25,0.0,tune,3,0
11,SCoNE,U_C,1,0.8380653223316672,0.646143496010934,0.7533868394531993,0.25,0.0,tune,3,0
12,SCoNE,W_C,2,0.8585712408954149,0.64421651588361,0.7562499252524514,0.25,0.0,tune,3,0
13,SCoNE,W_G,2,0.8997377534305613,0.64421651588361,0.7562499252524514,0.25,0.0,tune,3,0
14,SCoNE,H_G,2,0.9896526964216866,0.64421651588361,0.7562499252524514,0.25,0.0,tune,3,0
15,SCoNE,U_G,2,0.9432050917451311,0.64421651588361,0.7562499252524514,0.25,0.0,tune,3,0
16,SCoNE,H_C,2,0.933730062083933,0.64421651588361,0.7562499252524514,0.25,0.0,tune,3,0
17,SCoNE,U_C,2,0.836085337336791,0.64421651588361,0.7562499252524514,0.25,0.0,tune,3,0
18,SCoNE,W_C,3,0.8682487622207394,0.6404852231262931,0.7575880062728615,0.25,0.0,tune,3,0
19,SCoNE,W_G,3,0.9045764862381969,0.6404852231262931,0.7575880062728615,0.25,0.0,tune,3,0
20,SCoNE,H_G,3,0.9880640028375677,0.6404852231262931,0.7575880062728615,0.25,0.0,tune,3,0
21,SCoNE,U_G,3,0.9324627136744886,0.6404852231262931,0.7575880062728615,0.25,0.0,tune,3,0
22,SCoNE,H_C,3,0.9615212862274732,0.6404852231262931,0.7575880062728615,0.25,0.0,tune,3,0
23,SCoNE,U_C,3,0.8440866714392801,0.6404852231262931,0.7575880062728615,0.25,0.0,tune,3,0
24,SCoNE,W_C,4,0.8734177185442431,0.6455019539283361,0.7528459877368477,0.25,0.0,tune,3,0
25,SCoNE,W_G,4,0.9014542946310721,0.6455019539283361,0.7528459877368477,0.25,0.0,tune,3,0
26,SCoNE,H_G,4,0.9859064758180213,0.6455019539283361,0.7528459877368477,0.25,0.0,tune,3,0
27,SCoNE,U_G,4,0.9050167322332194,0.6455019539283361,0.7528459877368477,0.25,0.0,tune,3,0
28,SCoNE,H_C,4,0.9661970839409597,0.6455019539283361,0.7528459877368477,0.25,0.0,tune,3,0
29,SCoNE,U_C,4,0.8365068822154658,0.6455019539283361,0.7528459877368477,0.25,0.0,tune,3,0
30,SCoNE,W_C,5,0.8611597217647025,0.6399713175219108,0.7591057440233335,0.25,0.0,tune,3,0
31,SCoNE,W_G,5,0.9023320370393387,0.6399713175219108,0.7591057440233335,0.25,0.0,tune,3,0
32,SCoNE,H_G,5,0.9896459058495426,0.6399713175219108,0.7591057440233335,0.25,0.0,tune,3,0
33,SCoNE,U_G,5,0.938338653746663,0.6399713175219108,0.7591057440233335,0.25,0.0,tune,3,0
34,SCoNE,H_C,5,0.9454783616578746,0.6399713175219108,0.7591057440233335,0.25,0.0,tune,3,0
35,SCoNE,U_C,5,0.8383276678481271,0.6399713175219108,0.7591057440233335,0.25,0.0,tune,3,0
36,SCoNE,W_C,6,0.8221931396331218,0.6562117171882074,0.7527593314263011,0.25,0.0,tune,3,0
37,SCoNE,W_G,6,0.8757188054793107,0.6562117171882074,0.7527593314263011,0.25,0.0,tune,3,0
38,SCoNE,H_G,6,0.9797981086186281,0.6562117171882074,0.7527593314263011,0.25,0.0,tune,3,0
39,SCoNE,U_G,6,0.924780497955229,0.6562117171882074,0.7527593314263011,0.25,0.0,tune,3,0
40,SCoNE,H_C,6,0.8381897449838366,0.6562117171882074,0.7527593314263011,0.25,0.0,tune,3,0
41,SCoNE,U_C,6,0.8256890266565013,0.6562117171882074,0.7527593314263011,0.25,0.0,tune,3,0
42,SCoNE,W_C,7,0.8699277246203782,0.6502698740019272,0.7496577042036295,0.25,0.0,tune,3,0
43,SCoNE,W_G,7,0.9004609577685835,0.6502698740019272,0.7496577042036295,0.25,0.0,tune,3,0
44,SCoNE,H_G,7,0.984377019308339,0.6502698740019272,0.7496577042036295,0.25,0.0,tune,3,0
45,SCoNE,U_G,7,0.9451873952969246,0.6502698740019272,0.7496577042036295,0.25,0.0,tune,3,0
46,SCoNE,H_C,7,0.9641591140742065,0.6502698740019272,0.7496577042036295,0.25,0.0,tune,3,0
47,SCoNE,U_C,7,0.8379496665801802,0.6502698740019272,0.7496577042036295,0.25,0.0,tune,3,0
48,SCoNE,W_C,8,0.8710203361788277,0.6452501530712839,0.7539429896778709,0.25,0.0,tune,3,0
49,SCoNE,W_G,8,0.9036704895603962,0.6452501530712839,0.7539429896778709,0.25,0.0,tune,3,0
50,SCoNE,H_G,8,0.989920890513982,0.6452501530712839,0.7539429896778709,0.25,0.0,tune,3,0
51,SCoNE,U_G,8,0.9268345975904266,0.6452501530712839,0.7539429896778709,0.25,0.0,tune,3,0
52,SCoNE,H_C,8,0.9660715567120922,0.6452501530712839,0.7539429896778709,0.25,0.0,tune,3,0
53,SCoNE,U_C,8,0.8420268065435452,0.6452501530712839,0.7539429896778709,0.25,0.0,tune,3,0
54,SCoNE,W_C,9,0.8270364116669939,0.6464018145276422,0.7607156436307482,0.25,0.0,tune,3,0
55,SCoNE,W_G,9,0.8826935931203921,0.6464018145276422,0.7607156436307482,0.25,0.0,tune,3,0
56,SCoNE,H_G,9,0.978979351715682,0.6464018145276422,0.7607156436307482,0.25,0.0,tune,3,0
57,SCoNE,U_G,9,0.932277545362683,0.6464018145276422,0.7607156436307482,0.25,0.0,tune,3,0
58,SCoNE,H_C,9,0.8559352884694749,0.6464018145276422,0.7607156436307482,0.25,0.0,tune,3,0
59,SCoNE,U_C,9,0.8292224326338802,0.6464018145276422,0.7607156436307482,0.25,0.0,tune,3,0
60,SCoNE,W_C,10,0.8692576548217803,0.6426981918201277,0.7553360771452443,0.25,0.0,tune,3,0
61,SCoNE,W_G,10,0.9035869630664163,0.6426981918201277,0.7553360771452443,0.25,0.0,tune,3,0
62,SCoNE,H_G,10,0.9888503712547199,0.6426981918201277,0.7553360771452443,0.25,0.0,tune,3,0
63,SCoNE,U_G,10,0.92712080534035,0.6426981918201277,0.7553360771452443,0.25,0.0,tune,3,0
64,SCoNE,H_C,10,0.9597290611380662,0.6426981918201277,0.7553360771452443,0.25,0.0,tune,3,0
65,SCoNE,U_C,10,0.8465496890237866,0.6426981918201277,0.7553360771452443,0.25,0.0,tune,3,0
66,SCoNE,W_C,11,0.8686371069972683,0.6465294320009491,0.7531914565423513,0.25,0.0,tune,3,0
67,SCoNE,W_G,11,0.9019665684729411,0.6465294320009491,0.7531914565423513,0.25,0.0,tune,3,0
68,SCoNE,H_G,11,0.9879434889152731,0.6465294320009491,0.7531914565423513,0.25,0.0,tune,3,0
69,SCoNE,U_G,11,0.9378940401009983,0.6465294320009491,0.7531914565423513,0.25,0.0,tune,3,0
70,SCoNE,H_C,11,0.9639062652007213,0.6465294320009491,0.7531914565423513,0.25,0.0,tune,3,0
71,SCoNE,U_C,11,0.8466045261153943,0.6465294320009491,0.7531914565423513,0.25,0.0,tune,3,0
72,SCoNE,W_C,12,0.8681262515963405,0.6432073311313729,0.755635317657511,0.25,0.0,tune,3,0
73,SCoNE,W_G,12,0.903033589880921,0.6432073311313729,0.755635317657511,0.25,0.0,tune,3,0
74,SCoNE,H_G,12,0.9876210191926896,0.6432073311313729,0.755635317657511,0.25,0.0,tune,3,0
75,SCoNE,U_G,12,0.9288929071231029,0.6432073311313729,0.755635317657511,0.25,0.0,tune,3,0
76,SCoNE,H_C,12,0.956982099017855,0.6432073311313729,0.755635317657511,0.25,0.0,tune,3,0
77,SCoNE,U_C,12,0.849942404553901,0.6432073311313729,0.755635317657511,0.25,0.0,tune,3,0
78,SCoNE,W_C,13,0.869952265550902,0.6428360055232377,0.7549581918158477,0.25,0.0,tune,3,0
79,SCoNE,W_G,13,0.903825039906519,0.6428360055232377,0.7549581918158477,0.25,0.0,tune,3,0
80,SCoNE,H_G,13,0.9881394297790539,0.6428360055232377,0.7549581918158477,0.25,0.0,tune,3,0
81,SCoNE,U_G,13,0.9499849988452073,0.6428360055232377,0.7549581918158477,0.25,0.0,tune,3,0
82,SCoNE,H_C,13,0.965893383076244,0.6428360055232377,0.7549581918158477,0.25,0.0,tune,3,0
83,SCoNE,U_C,13,0.8440519953660549,0.6428360055232377,0.7549581918158477,0.25,0.0,tune,3,0
84,SCoNE,W_C,14,0.8610950511729814,0.6396113744346121,0.7597012215118122,0.25,0.0,tune,3,0
85,SCoNE,W_G,14,0.9032134633802205,0.6396113744346121,0.7597012215118122,0.25,0.0,tune,3,0
86,SCoNE,H_G,14,0.9890494356458177,0.6396113744346121,0.7597012215118122,0.25,0.0,tune,3,0
87,SCoNE,U_G,14,0.9291567534563853,0.6396113744346121,0.7597012215118122,0.25,0.0,tune,3,0
88,SCoNE,H_C,14,0.9425762982065464,0.6396113744346121,0.7597012215118122,0.25,0.0,tune,3,0
89,SCoNE,U_C,14,0.8414267467679056,0.6396113744346121,0.7597012215118122,0.25,0.0,tune,3,0
90,SCoNE,W_C,15,0.8676575650370931,0.6421987457084749,0.7556324978491786,0.25,0.0,tune,3,0
91,SCoNE,W_G,15,0.9036808925126102,0.6421987457084749,0.7556324978491786,0.25,0.0,tune,3,0
92,SCoNE,H_G,15,0.9908688726371963,0.6421987457084749,0.7556324978491786,0.25,0.0,tune,3,0
93,SCoNE,U_G,15,0.9362891813963032,0.6421987457084749,0.7556324978491786,0.25,0.0,tune,3,0
94,SCoNE,H_C,15,0.9587134325594567,0.6421987457084749,0.7556324978491786,0.25,0.0,tune,3,0
95,SCoNE,U_C,15,0.8520374092943093,0.6421987457084749,0.7556324978491786,0.25,0.0,tune,3,0
96,SCoNE,W_C,16,0.8712791883701543,0.6447769960562248,0.7550381975710773,0.25,0.0,tune,3,0
97,SCoNE,W_G,16,0.9036311960292207,0.6447769960562248,0.7550381975710773,0.25,0.0,tune,3,0
98,SCoNE,H_G,16,0.992642311674705,0.6447769960562248,0.7550381975710773,0.25,0.0,tune,3,0
99,SCoNE,U_G,16,0.9266712850131653,0.6447769960562248,0.7550381975710773,0.25,0.0,tune,3,0
100,SCoNE,H_C,16,0.9694758474391413,0.6447769960562248,0.7550381975710773,0.25,0.0,tune,3,0
101,SCoNE,U_C,16,0.8290835547478114,0.6447769960562248,0.7550381975710773,0.25,0.0,tune,3,0
102,SCoNE,W_C,17,0.8702339235619119,0.6422851787152232,0.7555489656546204,0.25,0.0,tune,3,0
103,SCoNE,W_G,17,0.9043268138369281,0.6422851787152232,0.7555489656546204,0.25,0.0,tune,3,0
104,SCoNE,H_G,17,0.9885005418949675,0.6422851787152232,0.7555489656546204,0.25,0.0,tune,3,0
105,SCoNE,U_G,17,0.932681223154859,0.6422851787152232,0.7555489656546204,0.25,0.0,tune,3,0
106,SCoNE,H_C,17,0.9635341376987548,0.6422851787152232,0.7555489656546204,0.25,0.0,tune,3,0
107,SCoNE,U_C,17,0.840845359893927,0.6422851787152232,0.7555489656546204,0.25,0.0,tune,3,0
108,SCoNE,W_C,18,0.8625992574126835,0.6418545406461849,0.7574153645662717,0.25,0.0,tune,3,0
109,SCoNE,W_G,18,0.9005892173397395,0.6418545406461849,0.7574153645662717,0.25,0.0,tune,3,0
110,SCoNE,H_G,18,0.9847073217825189,0.6418545406461849,0.7574153645662717,0.25,0.0,tune,3,0
111,SCoNE,U_G,18,0.9400149542218458,0.6418545406461849,0.7574153645662717,0.25,0.0,tune,3,0
112,SCoNE,H_C,18,0.9457695387468027,0.6418545406461849,0.7574153645662717,0.25,0.0,tune,3,0
113,SCoNE,U_C,18,0.8459648814944054,0.6418545406461849,0.7574153645662717,0.25,0.0,tune,3,0
114,SCoNE,W_C,19,0.869809644036387,0.6490710240744239,0.7509017136112857,0.25,0.0,tune,3,0
115,SCoNE,W_G,19,0.9008839743413843,0.6490710240744239,0.7509017136112857,0.25,0.0,tune,3,0
116,SCoNE,H_G,19,0.9867954088328585,0.6490710240744239,0.7509017136112857,0.25,0.0,tune,3,0
117,SCoNE,U_G,19,0.941873025787917,0.6490710240744239,0.7509017136112857,0.25,0.0,tune,3,0
118,SCoNE,H_C,19,0.963247750527934,0.6490710240744239,0.7509017136112857,0.25,0.0,tune,3,0
119,SCoNE,U_C,19,0.8491457986767318,0.6490710240744239,0.7509017136112857,0.25,0.0,tune,3,0
120,SCoNE,W_C,20,0.859637018983927,0.640285534036888,0.7594095334221381,0.25,0.0,tune,3,0
121,SCoNE,W_G,20,0.9013688682554112,0.640285534036888,0.7594095334221381,0.25,0.0,tune,3,0
122,SCoNE,H_G,20,0.9864160670756531,0.640285534036888,0.7594095334221381,0.25,0.0,tune,3,0
123,SCoNE,U_G,20,0.9377856826604409,0.640285534036888,0.7594095334221381,0.25,0.0,tune,3,0
124,SCoNE,H_C,20,0.9401312570346608,0.640285534036888,0.7594095334221381,0.25,0.0,tune,3,0
125,SCoNE,U_C,20,0.8375140491758294,0.640285534036888,0.7594095334221381,0.25,0.0,tune,3,0
126,SCoNE,W_C,21,0.8675408945745977,0.6434101410496392,0.755112247977236,0.25,0.0,tune,3,0
127,SCoNE,W_G,21,0.9012730931976354,0.6434101410496392,0.755112247977236,0.25,0.0,tune,3,0
128,SCoNE,H_G,21,0.9844807184635712,0.6434101410496392,0.755112247977236,0.25,0.0,tune,3,0
129,SCoNE,U_G,21,0.9436151336556876,0.6434101410496392,0.755112247977236,0.25,0.0,tune,3,0
130,SCoNE,H_C,21,0.9575757048074214,0.6434101410496392,0.755112247977236,0.25,0.0,tune,3,0
131,SCoNE,U_C,21,0.8494361834859819,0.6434101410496392,0.755112247977236,0.25,0.0,tune,3,0
132,SCoNE,W_C,22,0.8719767322630925,0.6455941662954482,0.7531482020140573,0.25,0.0,tune,3,0
133,SCoNE,W_G,22,0.9020010763322716,0.6455941662954482,0.7531482020140573,0.25,0.0,tune,3,0
134,SCoNE,H_G,22,0.9845208102123382,0.6455941662954482,0.7531482020140573,0.25,0.0,tune,3,0
