,ari,sim_W,sim_W_null,tuning_metric,run,split,sim_id,job_id,sim_H_G,sim_H_G_null,sim_U_G,sim_U_G_null,sim_H_C,sim_H_C_null,sim_U_C,sim_U_C_null,rel_error_G,rel_error_C,coph_corr,run_name,lambda_option,rGC,out_path
0,0.0,0.33333333333333326,0.33333333333333326,-0.0,0,tune,0,4,,,,,,,,,,,,MVBC,0.01,0.1,/home/jupyter/repos/SCoNE/output/models/rGC/tune_4
1,0.0,0.33333333333333326,0.33333333333333326,-0.0,0,tune,1,14,,,,,,,,,,,,MVBC,0.0,0.2,/home/jupyter/repos/SCoNE/output/models/rGC/tune_14
2,0.0,0.33333333333333326,0.33333333333333326,-0.0,0,tune,0,2,,,,,,,,,,,,MVBC,0.0,0.1,/home/jupyter/repos/SCoNE/output/models/rGC/tune_2
3,0.0,0.33333333333333326,0.33333333333333326,-0.0,0,tune,0,3,,,,,,,,,,,,MVBC,0.001,0.1,/home/jupyter/repos/SCoNE/output/models/rGC/tune_3
4,0.0,0.33333333333333326,0.33333333333333326,-0.0,0,tune,0,5,,,,,,,,,,,,MVBC,0.1,0.1,/home/jupyter/repos/SCoNE/output/models/rGC/tune_5
5,0.0011221990725656427,0.3585749859822395,0.3081772717024358,-0.0011221990725656427,0,tune,0,6,,,,,,,,,,,,MVBC,1.0,0.1,/home/jupyter/repos/SCoNE/output/models/rGC/tune_6
6,0.0,0.33333333333333326,0.33333333333333326,-0.0,0,tune,1,15,,,,,,,,,,,,MVBC,0.001,0.2,/home/jupyter/repos/SCoNE/output/models/rGC/tune_15
7,0.0,0.33333333333333326,0.33333333333333326,-0.0,0,tune,1,16,,,,,,,,,,,,MVBC,0.01,0.2,/home/jupyter/repos/SCoNE/output/models/rGC/tune_16
8,0.0024411631177444467,0.36321302106949044,0.308524288218854,-0.0024411631177444467,0,tune,1,18,,,,,,,,,,,,MVBC,1.0,0.2,/home/jupyter/repos/SCoNE/output/models/rGC/tune_18
9,0.0,0.33333333333333326,0.33333333333333326,-0.0,0,tune,1,17,,,,,,,,,,,,MVBC,0.1,0.2,/home/jupyter/repos/SCoNE/output/models/rGC/tune_17
10,0.0,0.33333333333333326,0.33333333333333326,-0.0,0,tune,2,26,,,,,,,,,,,,MVBC,0.0,0.3,/home/jupyter/repos/SCoNE/output/models/rGC/tune_26
11,0.0,0.33333333333333326,0.33333333333333326,-0.0,0,tune,2,27,,,,,,,,,,,,MVBC,0.001,0.3,/home/jupyter/repos/SCoNE/output/models/rGC/tune_27
12,0.0,0.33333333333333326,0.33333333333333326,-0.0,0,tune,2,28,,,,,,,,,,,,MVBC,0.01,0.3,/home/jupyter/repos/SCoNE/output/models/rGC/tune_28
13,0.0,0.33333333333333326,0.33333333333333326,-0.0,0,tune,2,29,,,,,,,,,,,,MVBC,0.1,0.3,/home/jupyter/repos/SCoNE/output/models/rGC/tune_29
14,0.005650154474487868,0.38165636062843555,0.30985502848403923,-0.005650154474487868,0,tune,2,30,,,,,,,,,,,,MVBC,1.0,0.3,/home/jupyter/repos/SCoNE/output/models/rGC/tune_30
15,0.4892616459380764,0.8019262490454864,0.4564596424172811,1.0446504825872647,0,tune,3,43,0.4643056400271503,0.260314381405139,0.8420046223306902,0.37753753186702527,0.8434983573417048,0.364901638029994,0.8023847549955563,0.21976845604181236,0.49874207815927263,0.545908404427992,0.8830334556069734,SCoNE,0.0,0.4,/home/jupyter/repos/SCoNE/output/models/rGC/tune_43
16,0.649053701258213,0.8439379982909418,0.42148641721273117,1.0432423863405254,1,tune,3,43,0.5342193556582442,0.30451415272241855,0.8939446289397143,0.40083884623068833,0.8636825541626886,0.37905205351039256,0.862662366166814,0.25245027064439945,0.5039959146080871,0.5392464717324382,0.8830334556069734,SCoNE,0.0,0.4,/home/jupyter/repos/SCoNE/output/models/rGC/tune_43
17,0.6339563766662787,0.8419248529964605,0.43411024462439685,1.0422152098123256,2,tune,3,43,0.5650158104794233,0.31057478985356496,0.8839011527956813,0.389275311834958,0.8917275791935186,0.38996082161346424,0.8251226080431098,0.215982125706159,0.4969507980345001,0.5452644117778256,0.8830334556069734,SCoNE,0.0,0.4,/home/jupyter/repos/SCoNE/output/models/rGC/tune_43
18,0.3151962083018232,0.6801912049268286,0.4564371430100335,1.0658028847413874,3,tune,3,43,0.28872741960034926,0.26928857212547297,0.8632117785800528,0.41932397537797284,0.8021947559769427,0.3811878197944302,0.8961435759576394,0.29053631953719833,0.49819891709408864,0.5676039676472987,0.8830334556069734,SCoNE,0.0,0.4,/home/jupyter/repos/SCoNE/output/models/rGC/tune_43
19,0.6350009638995172,0.841447500294277,0.43772611425752095,1.0424258558674684,4,tune,3,43,0.529203562269932,0.31359161361022414,0.8700827417168202,0.3993318592417106,0.8962889641469286,0.38482203807515086,0.8512771558230033,0.21286692815645775,0.4961855742328797,0.5462402816345887,0.8830334556069734,SCoNE,0.0,0.4,/home/jupyter/repos/SCoNE/output/models/rGC/tune_43
20,0.6000777085489631,0.8295792694264638,0.4426625169746551,1.0435602549116467,5,tune,3,43,0.5360003423529309,0.2857437369705264,0.89359025758438,0.41316754530732164,0.8974219460470424,0.38088911314689994,0.9091199417977557,0.23505927852248298,0.5001264048480872,0.5434338500635595,0.8830334556069734,SCoNE,0.0,0.4,/home/jupyter/repos/SCoNE/output/models/rGC/tune_43
21,0.5080336594287281,0.8027002559944291,0.4537576208222561,1.044274044798616,6,tune,3,43,0.46996435982251444,0.2958429607637331,0.8418349202259024,0.39597564241648775,0.834964746745967,0.3837715195653055,0.8355123589516628,0.24052929533065626,0.4981158741078349,0.5461581706907812,0.8830334556069734,SCoNE,0.0,0.4,/home/jupyter/repos/SCoNE/output/models/rGC/tune_43
22,0.5769562086528001,0.8297486882802977,0.43823046827249457,1.043521535466641,7,tune,3,43,0.5015963743855448,0.29915722617014834,0.8415069749909342,0.41498624963390524,0.8552752309831372,0.3668353638039752,0.7966524428402968,0.23324863722688557,0.4966214772916894,0.5469000581749517,0.8830334556069734,SCoNE,0.0,0.4,/home/jupyter/repos/SCoNE/output/models/rGC/tune_43
23,0.45063164088490776,0.785861129144725,0.45850048074665556,1.0505867775802589,8,tune,3,43,0.4232984681421439,0.27252095994201275,0.8387629090723184,0.4011757506193306,0.8658522958737812,0.3765439593883372,0.8533575115758609,0.22449031388237548,0.5001195991127243,0.5504671784675346,0.8830334556069734,SCoNE,0.0,0.4,/home/jupyter/repos/SCoNE/output/models/rGC/tune_43
24,0.40779139542104004,0.7727842962020193,0.45880993234718537,1.0534806216889638,9,tune,3,43,0.42294227512157906,0.2856080552360978,0.8575469771482599,0.4198569172466166,0.8546665348273876,0.37170738897308714,0.8306326863715665,0.19152167907757472,0.5022860443565973,0.5511945773323664,0.8830334556069734,SCoNE,0.0,0.4,/home/jupyter/repos/SCoNE/output/models/rGC/tune_43
25,0.40349458935444693,0.7635834989370478,0.4439823827872285,1.0564610846170486,10,tune,3,43,0.38245584586322073,0.29029468526051694,0.8981599605157496,0.4494878553951632,0.8715327592597902,0.36892127586294193,0.8649173940859534,0.21894917638432188,0.5034571891781369,0.5530038954389117,0.8830334556069734,SCoNE,0.0,0.4,/home/jupyter/repos/SCoNE/output/models/rGC/tune_43
26,0.35155655853272316,0.7465326778217488,0.4554632881786692,1.050435232118391,11,tune,3,43,0.4082254668700507,0.26793535187820045,0.8096296614824369,0.37555584067237596,0.8052366084946075,0.3382947806483456,0.8152773237257361,0.2654529181847724,0.5047627376673847,0.5456724944510063,0.8830334556069734,SCoNE,0.0,0.4,/home/jupyter/repos/SCoNE/output/models/rGC/tune_43
27,0.4367187862717151,0.7853745982837111,0.452319339354802,1.0547136755641113,12,tune,3,43,0.42887714354928425,0.25972563141213867,0.8429764900047594,0.422146464158494,0.834493300445989,0.4013411570938114,0.7643069247733382,0.20456766230465934,0.50094973335071,0.5537639422134014,0.8830334556069734,SCoNE,0.0,0.4,/home/jupyter/repos/SCoNE/output/models/rGC/tune_43
28,0.5724030131663123,0.8201714682745428,0.4292422023422921,1.0445425725545552,13,tune,3,43,0.4730231722267713,0.32224381144378744,0.8728410242872588,0.41305743740786477,0.8521623824936829,0.36516834546609983,0.7992975808850425,0.22733198457396406,0.5077325353686726,0.5368100371858827,0.8830334556069734,SCoNE,0.0,0.4,/home/jupyter/repos/SCoNE/output/models/rGC/tune_43
29,0.6446576003988156,0.8386044131100983,0.4340019345354722,1.0457747713795644,14,tune,3,43,0.4863828354027623,0.28775948061353895,0.8814247795971412,0.3974213243323914,0.8948230348807369,0.38608054906484207,0.8281936561295749,0.22253640807571134,0.5047051379684324,0.5410696334111319,0.8830334556069734,SCoNE,0.0,0.4,/home/jupyter/repos/SCoNE/output/models/rGC/tune_43
30,0.2674114966799767,0.6657249983437726,0.4514780853209843,1.0689559459385247,15,tune,3,43,0.3198971935142148,0.28600336654632214,0.8962004061233426,0.4924923557065629,0.8009385115346318,0.35265922348820955,0.8166664299756718,0.2586241549498341,0.5048601936923192,0.5640957522462057,0.8830334556069734,SCoNE,0.0,0.4,/home/jupyter/repos/SCoNE/output/models/rGC/tune_43
