,ari,sim_W,sim_W_null,tuning_metric,run,split,sim_id,job_id,sim_H_G,sim_H_G_null,sim_U_G,sim_U_G_null,sim_H_C,sim_H_C_null,sim_U_C,sim_U_C_null,rel_error_G,rel_error_C,coph_corr,run_name,lambda_option,signed_cov_effects,out_path
0,0.0,0.33333333333333326,0.33333333333333326,-0.0,0,tune,0,2,,,,,,,,,,,,MVBC,0.0,True,/home/jupyter/repos/SCoNE/output/models/signed_cov_effects/tune_2
1,0.1632158451696334,0.5241666666666666,0.33227499999999993,-0.1632158451696334,0,tune,0,3,,,,,,,,,,,,MVBC,0.001,True,/home/jupyter/repos/SCoNE/output/models/signed_cov_effects/tune_3
2,0.2293595001491653,0.5841666666666665,0.33251666666666657,-0.2293595001491653,0,tune,0,6,,,,,,,,,,,,MVBC,1.0,True,/home/jupyter/repos/SCoNE/output/models/signed_cov_effects/tune_6
3,0.0026248512574246837,0.3633333333333333,0.3319833333333333,-0.0026248512574246837,0,tune,0,5,,,,,,,,,,,,MVBC,0.1,True,/home/jupyter/repos/SCoNE/output/models/signed_cov_effects/tune_5
4,0.008288631184423472,0.38083333333333325,0.33252499999999985,-0.008288631184423472,0,tune,0,4,,,,,,,,,,,,MVBC,0.01,True,/home/jupyter/repos/SCoNE/output/models/signed_cov_effects/tune_4
5,0.0,0.33333333333333326,0.33333333333333326,-0.0,0,tune,1,14,,,,,,,,,,,,MVBC,0.0,False,/home/jupyter/repos/SCoNE/output/models/signed_cov_effects/tune_14
6,0.0,0.33333333333333326,0.33333333333333326,-0.0,0,tune,1,15,,,,,,,,,,,,MVBC,0.001,False,/home/jupyter/repos/SCoNE/output/models/signed_cov_effects/tune_15
7,0.0,0.33333333333333326,0.33333333333333326,-0.0,0,tune,1,16,,,,,,,,,,,,MVBC,0.01,False,/home/jupyter/repos/SCoNE/output/models/signed_cov_effects/tune_16
8,0.0,0.33333333333333326,0.33333333333333326,-0.0,0,tune,1,17,,,,,,,,,,,,MVBC,0.1,False,/home/jupyter/repos/SCoNE/output/models/signed_cov_effects/tune_17
9,0.0024411631177444467,0.36321302106949044,0.308524288218854,-0.0024411631177444467,0,tune,1,18,,,,,,,,,,,,MVBC,1.0,False,/home/jupyter/repos/SCoNE/output/models/signed_cov_effects/tune_18
10,0.005577129545420791,0.3905866367404111,0.3798982590657245,1.693915905916226,0,tune,0,10,0.027916570753587073,0.15140076372264194,0.4390982264233917,0.0866070404531842,0.019390063174657548,0.06225399987012249,0.5342600537205819,-0.06969910268158025,1.4077995100144736,0.28611639590175253,0.7690856893699007,SCoNE,0.1,True,/home/jupyter/repos/SCoNE/output/models/signed_cov_effects/tune_10
11,0.0,0.0,0.0,2.925130479791843,1,tune,0,10,0.0,0.0,0.5037381480981401,0.1015763720661755,0.0,0.0,0.45305352675708405,-0.0596945486238393,1.1515655424020546,1.7735649373897886,0.7690856893699007,SCoNE,0.1,True,/home/jupyter/repos/SCoNE/output/models/signed_cov_effects/tune_10
12,0.003062909233039732,0.30276045636799953,0.27621155598885744,1.7383543723218926,2,tune,0,10,0.20011026319309808,0.08778250076357239,0.45304987320512596,0.09673992078409505,0.0,0.1350523613946634,0.3821486843032613,-0.06703952438555352,1.160159912985347,0.5781944593365455,0.7690856893699007,SCoNE,0.1,True,/home/jupyter/repos/SCoNE/output/models/signed_cov_effects/tune_10
13,0.0,0.0,0.0,2.123253405415528,3,tune,0,10,0.0,0.0,0.46474004965634835,0.07205116446224301,0.0,0.0,0.47160746483858607,-0.08425067277523227,1.6833847577156855,0.4398686476998426,0.7690856893699007,SCoNE,0.1,True,/home/jupyter/repos/SCoNE/output/models/signed_cov_effects/tune_10
14,0.006968970222136876,0.2339510125440575,0.21241642013938755,2.4029916766796107,4,tune,0,10,0.02210415909303456,0.10801475611366165,0.43193914764765323,0.055875600230226016,0.029665983236829018,0.13529272126284722,0.5063990180058999,-0.05409163672991785,2.08417032828225,0.3188213483973607,0.7690856893699007,SCoNE,0.1,True,/home/jupyter/repos/SCoNE/output/models/signed_cov_effects/tune_10
15,0.0018934848776633625,0.239844906349678,0.22152225620874413,1.477321755251554,5,tune,0,10,0.1343677527238933,0.09411868477167834,0.45225654603484766,0.06244185337571784,0.09738738225297026,0.11370466533118594,0.49870596026221437,-0.05596877940107151,0.958998936608078,0.5183228186434762,0.7690856893699007,SCoNE,0.1,True,/home/jupyter/repos/SCoNE/output/models/signed_cov_effects/tune_10
16,0.1215808262536466,0.25762207800502435,0.23086923854354682,1.5030854557438287,6,tune,0,10,0.0,0.052957125904510516,0.5534612427312027,0.13669818369766737,0.0,0.15457761848884113,0.5354568544828165,-0.019397420441424527,1.2156189741787902,0.2874664815650385,0.7690856893699007,SCoNE,0.1,True,/home/jupyter/repos/SCoNE/output/models/signed_cov_effects/tune_10
